# TOMBSTONES.tsv -- the ENFORCED resurrection-blocklist (S-2026-06-24L).
#
# WHY: engines kept getting un-tombstoned. GoldOrbRetrace was resurrected THREE times
# -- each time someone added a fresh "EDGE"/PF row and the registry's DEAD/UNAUDITED
# check went green, so a live-falsified engine traded again. cull_audit.py logs culls
# but NEVER blocks (exit 0 always). engine_registry blocks UNAUDITED/DEAD-but-enabled
# but a new AUDITED_CONFIGS row silences it. Nothing made a tombstone STICK.
#
# WHAT: this file is the hard blocklist. tools/tombstone_guard.py (wired into the mac
# canary) scans engine_init.hpp for `g_X.enabled = true` and FAILS the build if any
# tombstoned global here is enabled -- and it OVERRIDES AUDITED_CONFIGS, so adding a
# fresh EDGE row CANNOT resurrect a FORBIDDEN engine. The ONLY way to re-enable is to
# edit THIS file (a deliberate, reviewed, git-logged act) -- which is the friction.
#
# policy:
#   FORBIDDEN            -- dead at source / live-falsified. Do NOT re-enable. Ever.
#                           To revisit: remove the row here (logged) AND attach a FRESH
#                           faithful-TICK PF (not bar-replay, not a slice) in the commit.
#   FAITHFUL-BT-REQUIRED -- disabled bull-beta / marginal / un-gated. Re-enable ONLY with
#                           a faithful-tick BT row in AUDITED_CONFIGS + downgrade this row.
#
# Re-enabling ANY row below = canary FAIL. That is intentional. Resurrection must be loud.
#
# columns: global <TAB> engine <TAB> tombstone_date <TAB> basis <TAB> policy <TAB> reason
# g_nas_turtle_d1	NasTurtleD1	2026-06-24	FAITHFUL	FAITHFUL-BT-REQUIRED	bull-beta, 2022 bear NEG (n=5 -$8); ema100+BE_ARM fail to rescue. SPX/DJ30 turtles carry the real edge. Disabled commit e32e8bf2.
g_vwap_rev_nq	VwapRevNQ	2026-05-14	LEDGER	FAITHFUL-BT-REQUIRED	stop-bleed cull (S82). VWAP-reversion NQ negative live. Re-enable only with a faithful both-regime PF.
g_nas_bbrev_long_h1	NasBbRevLongH1	2026-06-10	UNVERIFIED	FAITHFUL-BT-REQUIRED	disabled in the ungated-engine audit (no cost gate / no adverse protection). Needs a gate + faithful BT before any re-enable.
g_xau_swing_break_d1	XauSwingBreakD1	2026-06-10	UNVERIFIED	FAITHFUL-BT-REQUIRED	disabled D1-zoo engine; inline Sharpe inflated. Needs faithful BT before re-enable.
g_h1_swing_gold	H1SwingGold	2026-06-10	UNVERIFIED	FAITHFUL-BT-REQUIRED	disabled HTF swing; no faithful verdict. Needs faithful BT before re-enable.
g_xau_sess_nypm	XauSessNYpm	2026-06-26	FAITHFUL	FAITHFUL-BT-REQUIRED	fleet-sweep wn6lralw2 (verify held=True): bull-beta, bull PF1.86 / BEAR PF0.85, both 2022 walk-forward halves NEGATIVE. Time-of-day axis dead on spot-CFD gold (cost wall). Disabled commit 29028fe5. Re-enable only with a faithful both-regime PF (likely needs futures tape). RE-TESTED GATED 2026-07-08c (xau_sess_nypm_gated_bt.cpp, real class + real gold_regime brain + macro-hostile overlay, 2022-26 H1 certified, honest IBKR cost 2*0.00015*px+0.30): gate fires ZERO incremental blocks (redundant with the engine's own EMA200 filter); full live gate still BEAR22 PF0.68 NEG + H1 NEG both cost tiers -> gate-rescue FAILS, cull stands. Futures-tape bar unchanged.
g_gold_microscalper	MicroScalperGold	2026-07-01	LEDGER	FORBIDDEN	last live scalp; scalp family proven unviable across audits (GoldBracket PF0.36, XauusdFvg 0.50, VWAPRev 0.54/0.95, TrendPB 0.24/0.27, BBandScalp 154M-tick PF0.07-0.09). Force-pinned shadow S37-Z 2026-05-28 (engine_init:294 + per-tick reset 323-324). NO enabled member -> gated by shadow_mode, so the guard's enable-check cannot catch a resurrection; listed to complete the blocklist per retired_micro_engines.hpp. Source kept as no-op stub (952-line original in disabled_engines/).
g_gold_midscalper	MidScalperGold	2026-07-01	FAITHFUL	FORBIDDEN	sister to HybridGold; 3 independent sweeps over 24mo Dukascopy tick showed no profitable config (mean gross/trade slightly neg, cost/trade $2.50-3.00). Dispatch #if 0 2026-05-12 (tick_gold:1815), register_engine removed S-2026-06-02. NO enabled member; source preserved in place so the engine_init heartbeat/snapshot compiles.
# --- printf-only / code-deleted tombstones (no enable line -> not guard-catchable, logged for the record) ---
# NasOrbRetrace	NasOrbRetrace	2026-06-22	FAITHFUL	FORBIDDEN	PORT artifact (manifest 1.88 idealized fills); real engine PF0.45-0.59 net-NEG every regime. printf-only, no live global -> unwireable. If ever given a g_ global, add an enable-line row here.
# IndexIntradayDriftEngine	IndexIntradayDrift	2026-06-26	FAITHFUL	FORBIDDEN	fleet-sweep wn6lralw2 (held=True): bull PF1.04 / bear PF0.75 = no edge (bull-beta). Struct default flipped enabled=false (commit 29028fe5). Un-instantiated (no g_idd_* global, no register_source, no-op tick stub) -> not guard-catchable. If ever given a g_ global, add an enable-line row here.
g_trend_rider	TrendRider	2026-07-07	FAITHFUL	FORBIDDEN	WF FAIL (trendrider_faithful.cpp 2026-06-19): 2022-23 PF0.75 net -$838 BOTH halves NEG; 2024-26 bull PF1.33 = BULL-BETA. Bar-replay overstates trail engines 0.5-0.7 PF so true edge worse. Vault said never flip live; S-2026-07-01 blanket cutover flipped it anyway -> culled on operator order S-2026-07-07q. Gold trend covered by validated XauTrendFollow 1h/2h/4h/D1 stack.
